UPN,MATCHREF,CYPMD_ID,SURNAME,FORENAME,SEX,DOB,AGE,P_INCL,LAESTAB,URN,ENTRYDAT,SENF,LANG1ST,ETHNIC,ACTYRGRP,NEWMOBILE
A86040700061B,10060,000061,Taylor,Alice,M,2010-01-05,15,401,9334290,136774,2021-09-01,N,ENG,WBRI,10,1
A86040700062B,10061,000062,Taylor,Bob,F,2010-02-06,15,403,9334290,136774,2021-09-02,N,ENB,WBRI,11,0
A86040700063B,10062,000063,Taylor,Charlie,M,2010-03-07,15,414,9334290,136774,2021-09-03,N,OTH,WBRI,10,0
A86040700064B,10063,000064,Taylor,Diana,F,2010-04-08,15,421,9334290,136774,2021-09-04,K,OTB,WBRI,11,0
A86040700065B,10064,000065,Taylor,Edward,M,2010-05-09,15,431,9334290,136774,2021-09-05,E,REF,WBRI,10,0
A86040700066B,10065,000066,Taylor,Fiona,F,2010-06-10,15,401,9334290,136774,2021-09-06,N,NOT,WIRI,11,1
A86040700067B,10066,000067,Taylor,George,M,2010-07-11,15,403,9334290,136774,2021-09-07,N,ENG,WOTH,10,0
A86040700068B,10067,000068,Taylor,Hannah,F,2010-08-12,15,414,9334290,136774,2021-09-08,N,ENB,MWBC,11,0
A86040700069B,10068,000069,Taylor,Ian,M,2010-09-13,14,421,9334290,136774,2021-09-09,K,OTH,MWBA,10,0
A86040700070B,10069,000070,Taylor,Julia,F,2010-10-14,14,431,9334290,136774,2021-09-10,E,OTB,MWAS,11,0
A86040700071B,10070,000071,Taylor,Kevin,M,2010-11-15,14,401,9334290,136774,2021-09-11,N,REF,AIND,10,1
A86040700072B,10071,000072,Taylor,Laura,F,2010-12-16,14,403,9334290,136774,2021-09-12,N,NOT,APKN,11,0
A86040700073B,10072,000073,Taylor,Michael,M,2010-01-17,15,414,9334290,136774,2021-09-13,N,ENG,ABAN,10,0
A86040700074B,10073,000074,Taylor,Nina,F,2010-02-18,15,421,9334290,136774,2021-09-14,K,ENB,BCRB,11,0
A86040700075B,10074,000075,Taylor,Oscar,M,2010-03-19,15,431,9334290,136774,2021-09-15,E,OTH,BAFR,10,0
A86040700076B,10075,000076,Taylor,Paula,F,2010-04-20,15,401,9334290,136774,2021-09-16,N,OTB,CHNE,11,1
A86040700077B,10076,000077,Taylor,Quinn,M,2010-05-21,15,403,9334290,136774,2021-09-17,N,REF,OOTH,10,0
A86040700078B,10077,000078,Taylor,Rachel,F,2010-06-22,15,414,9334290,136774,2021-09-18,N,NOT,REFU,11,0
A86040700079B,10078,000079,Taylor,Steven,M,2010-07-23,15,421,9334290,136774,2021-09-19,K,ENG,NOBT,10,0
A86040700080B,10079,000080,Taylor,Tina,F,2010-08-24,15,431,9334290,136774,2021-09-20,E,ENB,MOTH,11,0
A86040700081B,10080,000081,Brown,Alice,M,2010-09-25,14,401,9334290,136774,2021-09-01,N,OTH,WBRI,10,1
A86040700082B,10081,000082,Brown,Bob,F,2010-10-26,14,403,9334290,136774,2021-09-02,N,OTB,WBRI,11,0
A86040700083B,10082,000083,Brown,Charlie,M,2010-11-27,14,414,9334290,136774,2021-09-03,N,REF,WBRI,10,0
A86040700084B,10083,000084,Brown,Diana,F,2010-12-28,14,421,9334290,136774,2021-09-04,K,NOT,WBRI,11,0
A86040700085B,10084,000085,Brown,Edward,M,2010-01-01,15,431,9334290,136774,2021-09-05,E,ENG,WBRI,10,0
A86040700086B,10085,000086,Brown,Fiona,F,2010-02-02,15,401,9334290,136774,2021-09-06,N,ENB,WIRI,11,1
A86040700087B,10086,000087,Brown,George,M,2010-03-03,15,403,9334290,136774,2021-09-07,N,OTH,WOTH,10,0
A86040700088B,10087,000088,Brown,Hannah,F,2010-04-04,15,414,9334290,136774,2021-09-08,N,OTB,MWBC,11,0
A86040700089B,10088,000089,Brown,Ian,M,2010-05-05,15,421,9334290,136774,2021-09-09,K,REF,MWBA,10,0
A86040700090B,10089,000090,Brown,Julia,F,2010-06-06,15,431,9334290,136774,2021-09-10,E,NOT,MWAS,11,0
A86040700091B,10090,000091,Brown,Kevin,M,2010-07-07,15,401,9334290,136774,2021-09-11,N,ENG,AIND,10,1
A86040700092B,10091,000092,Brown,Laura,F,2010-08-08,15,403,9334290,136774,2021-09-12,N,ENB,APKN,11,0
A86040700093B,10092,000093,Brown,Michael,M,2010-09-09,14,414,9334290,136774,2021-09-13,N,OTH,ABAN,10,0
A86040700094B,10093,000094,Brown,Nina,F,2010-10-10,14,421,9334290,136774,2021-09-14,K,OTB,BCRB,11,0
A86040700095B,10094,000095,Brown,Oscar,M,2010-11-11,14,431,9334290,136774,2021-09-15,E,REF,BAFR,10,0
A86040700096B,10095,000096,Brown,Paula,F,2010-12-12,14,401,9334290,136774,2021-09-16,N,NOT,CHNE,11,1
A86040700097B,10096,000097,Brown,Quinn,M,2010-01-13,15,403,9334290,136774,2021-09-17,N,ENG,OOTH,10,0
A86040700098B,10097,000098,Brown,Rachel,F,2010-02-14,15,414,9334290,136774,2021-09-18,N,ENB,REFU,11,0
A86040700099B,10098,000099,Brown,Steven,M,2010-03-15,15,421,9334290,136774,2021-09-19,K,OTH,NOBT,10,0
A86040700100B,10099,000100,Brown,Tina,F,2010-04-16,15,431,9334290,136774,2021-09-20,E,OTB,MOTH,11,0
A86040700101B,10100,000101,Davies,Alice,M,2010-05-17,15,401,9334290,136774,2021-09-01,N,REF,WBRI,10,1
A86040700102B,10101,000102,Davies,Bob,F,2010-06-18,15,403,9334290,136774,2021-09-02,N,NOT,WBRI,11,0
A86040700103B,10102,000103,Davies,Charlie,M,2010-07-19,15,414,9334290,136774,2021-09-03,N,ENG,WBRI,10,0
A86040700104B,10103,000104,Davies,Diana,F,2010-08-20,15,421,9334290,136774,2021-09-04,K,ENB,WBRI,11,0
A86040700105B,10104,000105,Davies,Edward,M,2010-09-21,14,431,9334290,136774,2021-09-05,E,OTH,WBRI,10,0
A86040700106B,10105,000106,Davies,Fiona,F,2010-10-22,14,401,9334290,136774,2021-09-06,N,OTB,WIRI,11,1
A86040700107B,10106,000107,Davies,George,M,2010-11-23,14,403,9334290,136774,2021-09-07,N,REF,WOTH,10,0
A86040700108B,10107,000108,Davies,Hannah,F,2010-12-24,14,414,9334290,136774,2021-09-08,N,NOT,MWBC,11,0
A86040700109B,10108,000109,Davies,Ian,M,2010-01-25,15,421,9334290,136774,2021-09-09,K,ENG,MWBA,10,0
A86040700110B,10109,000110,Davies,Julia,F,2010-02-26,15,431,9334290,136774,2021-09-10,E,ENB,MWAS,11,0
A86040700111B,10110,000111,Davies,Kevin,M,2010-03-27,15,401,9334290,136774,2021-09-11,N,OTH,AIND,10,1
A86040700112B,10111,000112,Davies,Laura,F,2010-04-28,15,403,9334290,136774,2021-09-12,N,OTB,APKN,11,0
A86040700113B,10112,000113,Davies,Michael,M,2010-05-01,15,414,9334290,136774,2021-09-13,N,REF,ABAN,10,0
A86040700114B,10113,000114,Davies,Nina,F,2010-06-02,15,421,9334290,136774,2021-09-14,K,NOT,BCRB,11,0
A86040700115B,10114,000115,Davies,Oscar,M,2010-07-03,15,431,9334290,136774,2021-09-15,E,ENG,BAFR,10,0
A86040700116B,10115,000116,Davies,Paula,F,2010-08-04,15,401,9334290,136774,2021-09-16,N,ENB,CHNE,11,1
A86040700117B,10116,000117,Davies,Quinn,M,2010-09-05,14,403,9334290,136774,2021-09-17,N,OTH,OOTH,10,0
A86040700118B,10117,000118,Davies,Rachel,F,2010-10-06,14,414,9334290,136774,2021-09-18,N,OTB,REFU,11,0
A86040700119B,10118,000119,Davies,Steven,M,2010-11-07,14,421,9334290,136774,2021-09-19,K,REF,NOBT,10,0
A86040700120B,10119,000120,Davies,Tina,F,2010-12-08,14,431,9334290,136774,2021-09-20,E,NOT,MOTH,11,0
A86040700201B,10200,000201,Johnson,Alice,M,2010-01-01,15,402,9334290,136774,2021-09-01,N,ENG,WBRI,10,1
A86040700202B,10201,000202,Johnson,Bob,F,2010-02-02,15,404,9334290,136774,2021-09-02,N,ENB,WBRI,11,0
A86040700203B,10202,000203,Johnson,Charlie,M,2010-03-03,15,407,9334290,136774,2021-09-03,N,OTH,WBRI,10,0
A86040700204B,10203,000204,Johnson,Diana,F,2010-04-04,15,408,9334290,136774,2021-09-04,K,OTB,WBRI,11,0
A86040700205B,10204,000205,Johnson,Edward,M,2010-05-05,15,410,9334290,136774,2021-09-05,E,REF,WBRI,10,0
A86040700206B,10205,000206,Johnson,Fiona,F,2010-06-06,15,413,9334290,136774,2021-09-06,N,NOT,WIRI,11,1
A86040700207B,10206,000207,Johnson,George,M,2010-07-07,15,422,9334290,136774,2021-09-07,N,ENG,WOTH,10,0
A86040700208B,10207,000208,Johnson,Hannah,F,2010-08-08,15,430,9334290,136774,2021-09-08,N,ENB,MWBC,11,0
A86040700209B,10208,000209,Johnson,Ian,M,2010-09-09,14,402,9334290,136774,2021-09-09,K,OTH,MWBA,10,0
A86040700210B,10209,000210,Johnson,Julia,F,2010-10-10,14,404,9334290,136774,2021-09-10,E,OTB,MWAS,11,0
A86040700211B,10210,000211,Johnson,Kevin,M,2010-11-11,14,407,9334290,136774,2021-09-11,N,REF,AIND,10,1
A86040700212B,10211,000212,Johnson,Laura,F,2010-12-12,14,408,9334290,136774,2021-09-12,N,NOT,APKN,11,0
A86040700213B,10212,000213,Johnson,Michael,M,2010-01-13,15,410,9334290,136774,2021-09-13,N,ENG,ABAN,10,0
A86040700214B,10213,000214,Johnson,Nina,F,2010-02-14,15,413,9334290,136774,2021-09-14,K,ENB,BCRB,11,0
A86040700215B,10214,000215,Johnson,Oscar,M,2010-03-15,15,422,9334290,136774,2021-09-15,E,OTH,BAFR,10,0
A86040700216B,10215,000216,Johnson,Paula,F,2010-04-16,15,430,9334290,136774,2021-09-16,N,OTB,CHNE,11,1
A86040700217B,10216,000217,Johnson,Quinn,M,2010-05-17,15,402,9334290,136774,2021-09-17,N,REF,OOTH,10,0
A86040700218B,10217,000218,Johnson,Rachel,F,2010-06-18,15,404,9334290,136774,2021-09-18,N,NOT,REFU,11,0
A86040700219B,10218,000219,Johnson,Steven,M,2010-07-19,15,407,9334290,136774,2021-09-19,K,ENG,NOBT,10,0
A86040700220B,10219,000220,Johnson,Tina,F,2010-08-20,15,408,9334290,136774,2021-09-20,E,ENB,MOTH,11,0
A86040700221B,10220,000221,Lewis,Alice,M,2010-09-21,14,410,9334290,136774,2021-09-01,N,OTH,WBRI,10,1
A86040700222B,10221,000222,Lewis,Bob,F,2010-10-22,14,413,9334290,136774,2021-09-02,N,OTB,WBRI,11,0
A86040700223B,10222,000223,Lewis,Charlie,M,2010-11-23,14,422,9334290,136774,2021-09-03,N,REF,WBRI,10,0
A86040700224B,10223,000224,Lewis,Diana,F,2010-12-24,14,430,9334290,136774,2021-09-04,K,NOT,WBRI,11,0
A86040700225B,10224,000225,Lewis,Edward,M,2010-01-25,15,402,9334290,136774,2021-09-05,E,ENG,WBRI,10,0
A86040700226B,10225,000226,Lewis,Fiona,F,2010-02-26,15,404,9334290,136774,2021-09-06,N,ENB,WIRI,11,1
A86040700227B,10226,000227,Lewis,George,M,2010-03-27,15,407,9334290,136774,2021-09-07,N,OTH,WOTH,10,0
A86040700228B,10227,000228,Lewis,Hannah,F,2010-04-28,15,408,9334290,136774,2021-09-08,N,OTB,MWBC,11,0
A86040700229B,10228,000229,Lewis,Ian,M,2010-05-01,15,410,9334290,136774,2021-09-09,K,REF,MWBA,10,0
A86040700230B,10229,000230,Lewis,Julia,F,2010-06-02,15,413,9334290,136774,2021-09-10,E,NOT,MWAS,11,0
A86040700231B,10230,000231,Lewis,Kevin,M,2010-07-03,15,422,9334290,136774,2021-09-11,N,ENG,AIND,10,1
A86040700232B,10231,000232,Lewis,Laura,F,2010-08-04,15,430,9334290,136774,2021-09-12,N,ENB,APKN,11,0
A86040700233B,10232,000233,Lewis,Michael,M,2010-09-05,14,402,9334290,136774,2021-09-13,N,OTH,ABAN,10,0
A86040700234B,10233,000234,Lewis,Nina,F,2010-10-06,14,404,9334290,136774,2021-09-14,K,OTB,BCRB,11,0
A86040700235B,10234,000235,Lewis,Oscar,M,2010-11-07,14,407,9334290,136774,2021-09-15,E,REF,BAFR,10,0
A86040700236B,10235,000236,Lewis,Paula,F,2010-12-08,14,408,9334290,136774,2021-09-16,N,NOT,CHNE,11,1
A86040700237B,10236,000237,Lewis,Quinn,M,2010-01-09,15,410,9334290,136774,2021-09-17,N,ENG,OOTH,10,0
A86040700238B,10237,000238,Lewis,Rachel,F,2010-02-10,15,413,9334290,136774,2021-09-18,N,ENB,REFU,11,0
A86040700239B,10238,000239,Lewis,Steven,M,2010-03-11,15,422,9334290,136774,2021-09-19,K,OTH,NOBT,10,0
A86040700240B,10239,000240,Lewis,Tina,F,2010-04-12,15,430,9334290,136774,2021-09-20,E,OTB,MOTH,11,0
A86040700241B,10240,000241,Walker,Alice,M,2010-05-13,15,402,9334290,136774,2021-09-01,N,REF,WBRI,10,1
A86040700242B,10241,000242,Walker,Bob,F,2010-06-14,15,404,9334290,136774,2021-09-02,N,NOT,WBRI,11,0
A86040700243B,10242,000243,Walker,Charlie,M,2010-07-15,15,407,9334290,136774,2021-09-03,N,ENG,WBRI,10,0
A86040700244B,10243,000244,Walker,Diana,F,2010-08-16,15,408,9334290,136774,2021-09-04,K,ENB,WBRI,11,0
A86040700245B,10244,000245,Walker,Edward,M,2010-09-17,14,410,9334290,136774,2021-09-05,E,OTH,WBRI,10,0
A86040700246B,10245,000246,Walker,Fiona,F,2010-10-18,14,413,9334290,136774,2021-09-06,N,OTB,WIRI,11,1
A86040700247B,10246,000247,Walker,George,M,2010-11-19,14,422,9334290,136774,2021-09-07,N,REF,WOTH,10,0
A86040700248B,10247,000248,Walker,Hannah,F,2010-12-20,14,430,9334290,136774,2021-09-08,N,NOT,MWBC,11,0
A86040700249B,10248,000249,Walker,Ian,M,2010-01-21,15,402,9334290,136774,2021-09-09,K,ENG,MWBA,10,0
A86040700250B,10249,000250,Walker,Julia,F,2010-02-22,15,404,9334290,136774,2021-09-10,E,ENB,MWAS,11,0
A86040700251B,10250,000251,Walker,Kevin,M,2010-03-23,15,407,9334290,136774,2021-09-11,N,OTH,AIND,10,1
A86040700252B,10251,000252,Walker,Laura,F,2010-04-24,15,408,9334290,136774,2021-09-12,N,OTB,APKN,11,0
A86040700253B,10252,000253,Walker,Michael,M,2010-05-25,15,410,9334290,136774,2021-09-13,N,REF,ABAN,10,0
A86040700254B,10253,000254,Walker,Nina,F,2010-06-26,15,413,9334290,136774,2021-09-14,K,NOT,BCRB,11,0
A86040700255B,10254,000255,Walker,Oscar,M,2010-07-27,15,422,9334290,136774,2021-09-15,E,ENG,BAFR,10,0
A86040700256B,10255,000256,Walker,Paula,F,2010-08-28,15,430,9334290,136774,2021-09-16,N,ENB,CHNE,11,1
A86040700257B,10256,000257,Walker,Quinn,M,2010-09-01,14,402,9334290,136774,2021-09-17,N,OTH,OOTH,10,0
A86040700258B,10257,000258,Walker,Rachel,F,2010-10-02,14,404,9334290,136774,2021-09-18,N,OTB,REFU,11,0
A86040700259B,10258,000259,Walker,Steven,M,2010-11-03,14,407,9334290,136774,2021-09-19,K,REF,NOBT,10,0
A86040700260B,10259,000260,Walker,Tina,F,2010-12-04,14,408,9334290,136774,2021-09-20,E,NOT,MOTH,11,0
A86040700261B,10260,000261,Robinson,Alice,M,2010-01-05,15,410,9334290,136774,2021-09-01,N,ENG,WBRI,10,1
A86040700262B,10261,000262,Robinson,Bob,F,2010-02-06,15,413,9334290,136774,2021-09-02,N,ENB,WBRI,11,0
A86040700263B,10262,000263,Robinson,Charlie,M,2010-03-07,15,422,9334290,136774,2021-09-03,N,OTH,WBRI,10,0
A86040700264B,10263,000264,Robinson,Diana,F,2010-04-08,15,430,9334290,136774,2021-09-04,K,OTB,WBRI,11,0
A86040700265B,10264,000265,Robinson,Edward,M,2010-05-09,15,402,9334290,136774,2021-09-05,E,REF,WBRI,10,0
A86040700266B,10265,000266,Robinson,Fiona,F,2010-06-10,15,404,9334290,136774,2021-09-06,N,NOT,WIRI,11,1
A86040700267B,10266,000267,Robinson,George,M,2010-07-11,15,407,9334290,136774,2021-09-07,N,ENG,WOTH,10,0
A86040700268B,10267,000268,Robinson,Hannah,F,2010-08-12,15,408,9334290,136774,2021-09-08,N,ENB,MWBC,11,0
A86040700269B,10268,000269,Robinson,Ian,M,2010-09-13,14,410,9334290,136774,2021-09-09,K,OTH,MWBA,10,0
A86040700270B,10269,000270,Robinson,Julia,F,2010-10-14,14,413,9334290,136774,2021-09-10,E,OTB,MWAS,11,0
A86040700271B,10270,000271,Robinson,Kevin,M,2010-11-15,14,422,9334290,136774,2021-09-11,N,REF,AIND,10,1
A86040700272B,10271,000272,Robinson,Laura,F,2010-12-16,14,430,9334290,136774,2021-09-12,N,NOT,APKN,11,0
A86040700273B,10272,000273,Robinson,Michael,M,2010-01-17,15,402,9334290,136774,2021-09-13,N,ENG,ABAN,10,0
A86040700274B,10273,000274,Robinson,Nina,F,2010-02-18,15,404,9334290,136774,2021-09-14,K,ENB,BCRB,11,0
A86040700275B,10274,000275,Robinson,Oscar,M,2010-03-19,15,407,9334290,136774,2021-09-15,E,OTH,BAFR,10,0
A86040700276B,10275,000276,Robinson,Paula,F,2010-04-20,15,408,9334290,136774,2021-09-16,N,OTB,CHNE,11,1
A86040700277B,10276,000277,Robinson,Quinn,M,2010-05-21,15,410,9334290,136774,2021-09-17,N,REF,OOTH,10,0
A86040700278B,10277,000278,Robinson,Rachel,F,2010-06-22,15,413,9334290,136774,2021-09-18,N,NOT,REFU,11,0
A86040700279B,10278,000279,Robinson,Steven,M,2010-07-23,15,422,9334290,136774,2021-09-19,K,ENG,NOBT,10,0
A86040700280B,10279,000280,Robinson,Tina,F,2010-08-24,15,430,9334290,136774,2021-09-20,E,ENB,MOTH,11,0
A86040700281B,10280,000281,Wood,Alice,M,2010-09-25,14,402,9334290,136774,2021-09-01,N,OTH,WBRI,10,1
A86040700282B,10281,000282,Wood,Bob,F,2010-10-26,14,404,9334290,136774,2021-09-02,N,OTB,WBRI,11,0
A86040700283B,10282,000283,Wood,Charlie,M,2010-11-27,14,407,9334290,136774,2021-09-03,N,REF,WBRI,10,0
A86040700284B,10283,000284,Wood,Diana,F,2010-12-28,14,408,9334290,136774,2021-09-04,K,NOT,WBRI,11,0
A86040700285B,10284,000285,Wood,Edward,M,2010-01-01,15,410,9334290,136774,2021-09-05,E,ENG,WBRI,10,0
A86040700286B,10285,000286,Wood,Fiona,F,2010-02-02,15,413,9334290,136774,2021-09-06,N,ENB,WIRI,11,1
A86040700287B,10286,000287,Wood,George,M,2010-03-03,15,422,9334290,136774,2021-09-07,N,OTH,WOTH,10,0
A86040700288B,10287,000288,Wood,Hannah,F,2010-04-04,15,430,9334290,136774,2021-09-08,N,OTB,MWBC,11,0
A86040700289B,10288,000289,Wood,Ian,M,2010-05-05,15,402,9334290,136774,2021-09-09,K,REF,MWBA,10,0
A86040700290B,10289,000290,Wood,Julia,F,2010-06-06,15,404,9334290,136774,2021-09-10,E,NOT,MWAS,11,0
A86040700291B,10290,000291,Wood,Kevin,M,2010-07-07,15,407,9334290,136774,2021-09-11,N,ENG,AIND,10,1
A86040700292B,10291,000292,Wood,Laura,F,2010-08-08,15,408,9334290,136774,2021-09-12,N,ENB,APKN,11,0
A86040700293B,10292,000293,Wood,Michael,M,2010-09-09,14,410,9334290,136774,2021-09-13,N,OTH,ABAN,10,0
A86040700294B,10293,000294,Wood,Nina,F,2010-10-10,14,413,9334290,136774,2021-09-14,K,OTB,BCRB,11,0
A86040700295B,10294,000295,Wood,Oscar,M,2010-11-11,14,422,9334290,136774,2021-09-15,E,REF,BAFR,10,0
A86040700296B,10295,000296,Wood,Paula,F,2010-12-12,14,430,9334290,136774,2021-09-16,N,NOT,CHNE,11,1
A86040700297B,10296,000297,Wood,Quinn,M,2010-01-13,15,402,9334290,136774,2021-09-17,N,ENG,OOTH,10,0
