CYPMD_ID,SURNAME,FORENAMES,SEX,DOB,AGE,P_INCL,P_INCL_aims,attendance_year_0,attendance_year_1,attendance_year_2,src_laestab_0,src_laestab_1,src_laestab_2,LAESTAB,URN,UKPRN,ULN,KS4_DISADVANTAGE,ALEV,TOTENTS_ALEV,TOTPTSE_ALEV,ACAD,TOTENTS_ACAD,TOTPTSE_ACAD,TLEV,TOTENTS_TLEV,TOTPTSE_TLEV,AGEN,TOTENTS_AGEN,TOTPTSE_AGEN,TechCert,TOTENTS_TechCert,TOTPTSE_TechCert,TLEVEL,TOTENTS_TLEVEL,TOTPTSE_TLEVEL,L3_FLAG,TechCert_nodisc,L2VOC_nodisc,TLEV_nodisc,TLEV_denom,AGEN_nodisc,AGEN_denom,LearningAimReference,INSCOPE_E,PROGRESS_E,BASE_pts_E,BEST_E,EXEMPT_E,NO_ENTRIES_E,INSCOPE_M,PROGRESS_M,BASE_pts_M,BEST_M,EXEMPT_M,NO_ENTRIES_M,BEST_L3M,InScope_L3M,ACH_L3M,Retention_CompletionStatus,AimSize_Final,CoreAimFlag,Ret_Trigger,InScope_ALEV_Ret,Retained_ALEV_Ret,Ret_Assessed_ALEV,InScope_ALEV_2ndYr,Retained_ALEV_2ndYr,InScope_ACAD_Ret,Retained_ACAD_Ret,Ret_Assessed_ACAD,InScope_ACAD_2ndYr,Retained_ACAD_2ndYr,InScope_TLEV_Ret,Retained_TLEV_Ret,Ret_Assessed_TLEV,InScope_TLEV_2ndYr,Retained_TLEV_2ndYr,InScope_AGEN_Ret,Retained_AGEN_Ret,Ret_Assessed_AGEN,InScope_AGEN_2ndYr,Retained_AGEN_2ndYr,InScope_TechCert_Ret,Retained_TechCert_Ret,Ret_Assessed_TechCert,INCLUDE_B3,B3PTSE_B3,INCLUDE_AAB,AAB_FAC,KS4_Year_Calc
CYP0000063,Woodpecker,Popeye,M,11/04/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,5201928545,0,1,2,3,1,1,64.26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,J7ERJJA3,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000064,Meldrew,Beatrice,F,25/02/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,9426850694,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Z1BWS6K3,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,2025
CYP0000065,Bootle,Velma,F,05/08/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,5464285982,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74J4S31M,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000066,Clegg,Baldrick,M,26/12/2007,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,9503787171,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6V7HC46L,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,1,2024
CYP0000067,Bunny,Bugs,F,04/02/2007,18,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,9572442790,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7KZHRJN9,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2023
CYP0000068,Imwe,Molly,F,21/01/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,2952996248,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,H5MF6A5E,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000069,Barker,Nathan,M,15/09/2007,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,1566090561,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,T8B25TR8,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000070,Crusher,Chirrut,M,10/05/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,2905085701,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2DY5U5Q6,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000071,Sarek,Deanna,F,20/10/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,6637352245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,362.15,0,0,0,1,1,0,0,0,0,0,NEC8VYP5,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2025
CYP0000072,Spencer,Penelope,F,06/07/2007,18,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,6636925105,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,XA74KGZL,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,2023
CYP0000073,Clegg,Constance,F,25/03/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,1298867122,0,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CRQWQHTM,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.75,1,1,2024
CYP0000074,Chekov,Fawlty,M,06/02/2008,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,1195066088,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,VV0QDAM3,1,0.79,2.21,3,,0,1,0.11,2.89,3,,0,0,0,0,1,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,2024
CYP0000075,Pearce,Mon,F,26/10/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,6340003593,0,1,3,8,1,1,55.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,YG2S11R7,0,0,0,0,,1,0,0,0,0,,1,0,0,0,2,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,2025
CYP0000076,Erso,Ginevra,F,06/10/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,7308968023,0,1,3,10,0,0,0,0,0,0,1,1,67.24,0,0,0,0,0,0,1,0,0,0,0,1,1,1B6VGWT8,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,10,1,0,2025
CYP0000077,Trotter,Del,F,15/10/2006,18,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,1741134891,0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Y65MVEM8,0,0,0,0,,1,0,0,0,0,,1,1,1,1,1,0.35,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,1,0,2023
CYP0000078,Rogers,Shaggy,F,13/03/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,9991312028,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1TY5XWFG,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,2025
CYP0000079,Uhura,Rodney,M,01/01/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,9459318641,0,0,0,0,0,0,0,0,0,0,1,2,103,0,0,0,0,0,0,1,0,0,0,0,1,1,RKNT833E,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025
CYP0000080,Erso,Jyn,F,11/06/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,5012760260,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,QPNPCHLD,0,0,0,0,,1,0,0,0,0,,1,0,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000081,Trotter,Ivy,F,01/05/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,8325222092,1,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2RD6WATJ,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,2025
CYP0000082,Featherstone,David,M,21/06/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,2789144223,1,0,0,0,0,0,0,1,2,131.97,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,RX9JA2M0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000083,Foggy,Poe,M,08/06/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,3760786161,0,0,0,0,0,0,0,0,0,0,1,1,40.4,0,0,0,1,3,128.43,1,0,0,0,0,0,1,LP3SBXK5,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2025
CYP0000084,Skywalker,Poe,M,09/03/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,9403012103,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6WQX2BYP,1,-0.87,2.87,2,,0,1,-1.06,3.06,2,,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,2025
CYP0000085,Fothergill,Compo,M,13/04/2008,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,1149460439,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,JD1SPVJJ,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,2024
CYP0000086,Solo,Luna,F,10/05/2008,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,1859759428,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GE2AUN3U,0,0,0,0,,1,0,0,0,0,,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.25,1,0,2024
CYP0000087,Kenobi,Ben,M,05/05/2007,18,501,,1,1,0,SC,SC,,8604070,142313,10004270,7552812957,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54TLF7H8,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2023
CYP0000088,Dinkley,Maggie,F,10/06/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,2178758213,0,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,JHVXB6UX,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.25,1,0,2024
CYP0000089,Sarek,Dolores,F,09/10/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,3957572769,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,JEREB85Q,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,2025
CYP0000090,Erso,Bernard,M,22/11/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,7505693643,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NPVGUCT1,1,-1.05,3.05,2,,0,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2025
CYP0000091,Featherstone,Luna,F,21/10/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,6986770879,0,0,0,0,1,2,156.52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,LM4U0L3N,1,-0.76,2.76,2,,0,1,-0.82,2.82,2,,0,0,0,0,1,0.35,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000092,Dameron,Manny,M,19/08/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,3702653209,0,1,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ALFZP275,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,2024
CYP0000093,Blake,Reginald,M,06/08/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,6913417379,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2ZZSSV70,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.75,1,0,2024
CYP0000094,La Forge,Geordi,F,23/03/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,8809871735,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,EWVJYUXB,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2025
CYP0000095,Perkins,Kathryn,F,11/11/2007,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,4990452762,0,0,0,0,0,0,0,0,0,0,1,3,284.74,0,0,0,0,0,0,1,0,0,0,0,1,1,VU077F5F,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2024
CYP0000096,Sulu,Bodhi,M,28/01/2009,16,501,,1,1,0,SC,SC,,8604070,142313,10004270,4765583254,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0Y0AMLYG,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2025
CYP0000097,Djarin,B'Elanna,F,10/08/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,1409675904,0,0,0,0,1,2,137.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,YZCELPT6,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000098,Kenobi,Ginevra,F,24/12/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,5868640848,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,RZCVCUTV,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,2025
CYP0000099,Troi,Reginald,M,16/12/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,3099500153,0,1,2,6,0,0,0,0,0,0,0,0,0,1,1,86.09,0,0,0,1,1,0,0,0,0,0,C97C7BP2,0,0,0,0,,1,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2025
CYP0000100,Janeway,Hera,F,13/03/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,2613385303,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NHRFG52B,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.75,1,0,2024
CYP0000101,Mouse,Cassandra,F,23/10/2008,16,501,,1,0,0,SC,,,8604070,142313,10004270,3550970716,0,0,0,0,0,0,0,0,0,0,1,2,137.35,0,0,0,0,0,0,1,0,0,0,0,1,1,H7VV23J5,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025
CYP0000102,Blackadder,Stewie,M,30/06/2008,17,501,,1,1,0,SC,SC,,8604070,142313,10004270,4915196257,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,037V8UEJ,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,2024
CYP0000103,Janeway,Victor,M,19/10/2007,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,4562272871,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HG1117ZZ,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000104,Djarin,Guinan,F,14/03/2008,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,8081204252,0,0,0,0,0,0,0,0,0,0,1,3,143.16,1,1,71.41,0,0,0,1,1,0,0,0,1,1,4SYZJ38X,0,0,0,0,,1,1,0.97,2.03,3,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2024
CYP0000105,Imwe,Penelope,F,08/06/2009,16,501,,1,0,0,SC,,,8604070,142313,10004270,3097302637,0,1,2,5,1,1,50.72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HRCX77YA,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
CYP0000106,Picard,Jean-Luc,F,02/06/2008,17,501,,1,1,1,SC,SC,SC,8604070,142313,10004270,9493209128,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8RJZL4C9,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
CYP0000107,Calrissian,Lando,M,03/05/2009,16,501,,1,1,0,SC,SC,,8604070,142313,10004270,9830946410,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C76VB7L8,0,0,0,0,,1,0,0,0,0,,1,0,0,0,1,0.35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,2025
